"",11676,98391
0000913154,1,5
0001010565,1,5
0001046438,1,5
0001046713,1,5
000104687X,1,5
0001046934,1,5
0001047213,1,5
0001047647,1,5
0001047663,1,5
0001047868,1,5
0001047973,1,5
000104799X,1,5
0001048082,1,5
0001048473,1,5
0001049879,1,5
0001052039,1,5
0001053736,1,5
0001053744,1,5
0001055607,1,5
0001056107,1,5
0001061127,1,5
000123207X,1,5
0001232088,1,5
0001360469,1,5
0001372564,1,5
0001374362,1,5
0001374869,1,5
0001382381,1,5
0001382608,1,5
000160418X,1,5
0001711105,1,5
0001711253,1,5
000171421X,1,5
0001714236,1,5
0001714600,1,5
0001718126,1,5
0001811150,1,5
0001811819,1,5
0001821326,1,5
0001821504,1,5
0001837397,1,5
0001840517,1,5
0001841572,1,5
000184251X,1,5
0001842749,1,5
0001845039,1,5
0001846086,1,5
0001848445,1,5
0001848461,1,5
0001850121,1,5
0001856367,1,5
0001857258,1,5
0001900277,1,5
0001935968,1,5
0001939203,1,5
0001941941,1,5
0001941968,1,5
000194214X,1,5
0001944711,6,5
0001944835,1,5
0001945203,1,5
0001952404,1,5
0001952803,1,5
0001953877,1,5
000195833X,1,5
0001961721,1,5
0001981307,1,5
0001981323,1,5
0001981625,1,5
0002000202,1,5
0002000288,1,5
0002000369,1,5
0002000547,1,5
0002005018,8,5
0002005050,1,5
0002005395,1,5
000200545X,1,5
0002005557,1,5
0002006502,1,5
0002006588,1,5
0002111314,1,5
0002113570,1,5
0002114038,1,5
0002115328,1,5
0002116286,1,5
0002118572,1,5
0002118580,9,5
0002130289,1,5
000213179X,1,5
0002153572,1,5
0002154064,1,5
0002154390,1,5
0002154900,1,5
0002154978,1,5
0002156083,1,5
0002156601,1,5
0002156970,1,5
0002157101,1,5
0002157411,1,5
0002157446,1,5
0002157853,1,5
000215787X,1,5
0002157950,1,5
0002158698,1,5
000215871X,1,5
0002158973,1,5
0002159767,1,5
0002160099,1,5
0002160595,1,5
0002162857,1,5
0002163578,1,5
0002163713,1,5
0002164868,1,5
0002165368,1,5
0002166607,1,5
0002166631,1,5
0002166798,1,5
0002166828,1,5
0002167425,1,5
0002169290,1,5
000217104X,1,5
0002172739,1,5
0002173611,1,5
0002174154,1,5
0002176084,1,5
0002176181,1,5
000217622X,1,5
0002176432,5,5
0002177803,1,5
0002179687,1,5
0002179695,1,5
0002181924,1,5
0002184974,7,5
0002187272,1,5
0002189569,1,5
0002190206,1,5
0002190915,1,5
0002191792,1,5
0002192152,1,5
0002195690,1,5
0002197154,1,5
0002197286,1,5
0002198274,1,5
0002199009,1,5
0002199793,1,5
0002200309,1,5
0002200813,1,5
0002200821,1,5
000220083X,1,5
0002201402,1,5
0002201410,1,5
0002201453,1,5
0002202107,1,5
0002210436,1,5
0002210479,1,5
0002210843,1,5
0002210967,1,5
000221122X,1,5
0002211483,1,5
0002211890,1,5
0002212064,1,5
0002212080,1,5
000221329X,1,5
0002213656,1,5
0002214067,1,5
0002215039,1,5
0002215470,1,5
0002215497,1,5
0002215810,1,5
0002215837,1,5
0002216140,1,5
0002216485,1,5
0002216582,1,5
0002217422,1,5
000221766X,1,5
000221847X,1,5
0002219336,1,5
0002219476,1,5
0002219697,1,5
0002219808,1,5
0002219980,1,5
0002220032,1,5
0002220776,1,5
0002221160,1,5
0002222469,1,5
0002222590,1,5
0002222671,1,5
0002222752,1,5
0002223198,1,5
000222335X,1,5
0002223368,1,5
0002223589,1,5
0002223929,1,5
0002224216,1,5
0002224356,1,5
0002224607,1,5
0002224682,1,5
0002226162,1,5
000222674X,1,5
0002227045,1,5
0002227150,1,5
0002228394,1,5
0002228424,1,5
0002228556,1,5
0002229544,1,5
0002231352,1,5
0002231441,1,5
000223257X,1,5
0002233495,1,5
0002233509,1,5
0002233711,1,5
0002234424,1,5
0002234440,1,5
0002234491,1,5
0002234734,1,5
0002234947,1,5
0002235013,1,5
0002235390,1,5
0002237458,1,5
0002237520,1,5
0002237857,1,5
0002238861,1,5
0002239183,1,5
0002239213,1,5
0002240009,1,5
0002240017,1,5
0002240114,1,5
0002241358,1,5
0002241447,1,5
0002242591,1,5
0002243016,1,5
0002243687,1,5
0002243733,1,5
0002243776,1,5
0002243792,1,5
0002243806,1,5
0002243865,1,5
0002243954,1,5
0002243962,1,5
000224408X,1,5
0002244098,1,5
0002244705,1,5
0002245426,1,5
000224554X,1,5
0002245663,1,5
0002245671,1,5
0002245728,1,5
0002250101,1,5
000225056X,1,5
0002250780,1,5
0002250810,7,5
0002250985,1,5
0002251000,1,5
0002251183,1,5
